-170.0, -199.02106672992954, 25.478777601507502, -173.54228912842206, -224.49984433143706
-160.0, -243.775912302017, 8.409787514211768, -231.9116121866369, -250.42609866131838
-150.0, -231.3268652814791, 11.387415074672994, -212.30099057342892, -246.59601200614009
-140.0, -230.88528632658657, 9.063516404340767, -221.73281856380868, -246.7383102278074
-130.0, -219.38630067280474, 13.341505106028231, -191.9764977453969, -232.38140652342298
-120.0, -198.31424779184601, 15.119440432613013, -168.5313697657585, -217.9320891522366
-110.0, -181.0745435093408, 10.222030084312836, -164.62617480046217, -193.49232961224712
-100.0, -163.4626527392542, 8.657585328812448, -140.83188355688583, -174.67176409235233
-90.0, -143.42764195557154, 8.30339188235451, -113.397445377564, -150.0950667114024
-80.0, -121.36340698200307, 8.671304278135311, -95.85606042292763, -134.026912818227
-70.0, -101.93353102743748, 6.95872871964257, -77.02953771371965, -113.17447028441418
-60.0, -83.75747034695766, 5.323370347373008, -57.99460889013284, -92.25233700187891
-50.0, -64.48058338719578, 5.112245058025994, -45.62039458993991, -71.48420655326055
-40.0, -49.35280149453458, 2.317012412094213, -39.306395825106506, -54.770072400856755
-30.0, -39.42926708280681, 1.4172461251824806, -35.2511787561696, -42.46739501764122
-20.0, -29.086092542379028, 1.6284826920932032, -26.428987453785723, -33.17138683238912
-10.0, -19.216100157818996, 1.6884028380190546, -14.10802418223374, -22.785161614188574
-0.0, -4.136740586161255, 4.328438566741003, 1.122760861404231, -13.382259735623517
10.0, 2.9508995607817003, 4.148373451387937, 12.754479549470656, -1.3149975764760737
20.0, 18.40386954630856, 2.1615822187337783, 22.692206214987667, 14.14849178773422
30.0, 29.621276107261775, 1.8249171358546783, 33.09977650701938, 26.050028061805165
40.0, 39.25124822621231, 1.6769860625387725, 42.08421523996452, 35.47858465201488
50.0, 51.76583674652915, 3.754498877167283, 57.77334902737975, 41.77653069880297
60.0, 66.5782593421293, 4.903975315213864, 72.60601949128726, 50.01612231207713
70.0, 82.20287473351416, 5.910065135409526, 90.52760951049454, 65.18100283967227
80.0, 102.83090765857875, 10.315307727333254, 118.59629729161922, 83.8901283727839
90.0, 124.95651334988473, 10.004306302329532, 140.37227678658283, 104.3501823664218
100.0, 144.05500900216475, 10.293124451566905, 155.06526250136648, 123.20153434444377
110.0, 161.29015723933765, 11.31467633399153, 181.11666120694554, 142.06901167129888
120.0, 183.8392296703386, 12.131062456585907, 206.2173146370512, 166.04582984464224
130.0, 204.4021414390736, 8.772369790603552, 213.79994290814324, 183.79992237209953
140.0, 215.26467287975143, 9.772326281103052, 233.43898901743881, 199.0803169826084
150.0, 229.06247245960262, 10.64659170886335, 247.97227505958247, 215.70538585560382
160.0, 252.21972734404832, 12.98758841399803, 268.19543144771734, 229.89871280957826
170.0, 257.45882427077385, 9.851235281753493, 263.39350596949424, 232.5365179297768
180.0, 248.35108483774695, 5.873353130986374, 254.22443796873333, 242.47773170676058
